2025-03-06 11:36:57,423 - INFO - Starting the Game with a Board 5 x 5. Sequence: 5
2025-03-06 11:36:57,511 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,511 - INFO - There is a valid move in (0, 2)
2025-03-06 11:36:57,512 - INFO - There is a valid move in (2, 0)
2025-03-06 11:36:57,512 - INFO - There is a valid move in (1, 3)
2025-03-06 11:36:57,513 - INFO - There is a valid move in (0, 2)
2025-03-06 11:36:57,514 - INFO - There is a valid move in (2, 1)
2025-03-06 11:36:57,515 - INFO - There is a valid move in (1, 2)
2025-03-06 11:36:57,516 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,518 - INFO - There is a valid move in (3, 0)
2025-03-06 11:36:57,519 - INFO - There is a valid move in (2, 2)
2025-03-06 11:36:57,520 - INFO - There is a valid move in (2, 1)
2025-03-06 11:36:57,521 - INFO - There is a valid move in (2, 0)
2025-03-06 11:36:57,522 - INFO - There is a valid move in (2, 3)
2025-03-06 11:36:57,522 - INFO - There is a valid move in (1, 2)
2025-03-06 11:36:57,523 - INFO - There is a valid move in (2, 0)
2025-03-06 11:36:57,525 - INFO - There is a valid move in (0, 3)
2025-03-06 11:36:57,526 - INFO - There is a valid move in (2, 0)
2025-03-06 11:36:57,526 - INFO - There is a valid move in (0, 2)
2025-03-06 11:36:57,527 - INFO - There is a valid move in (1, 2)
2025-03-06 11:36:57,528 - INFO - There is a valid move in (0, 2)
2025-03-06 11:36:57,528 - INFO - There is a valid move in (2, 3)
2025-03-06 11:36:57,529 - INFO - There is a valid move in (2, 2)
2025-03-06 11:36:57,530 - INFO - There is a valid move in (0, 3)
2025-03-06 11:36:57,531 - INFO - There is a valid move in (0, 2)
2025-03-06 11:36:57,531 - INFO - There is a valid move in (0, 2)
2025-03-06 11:36:57,532 - INFO - There is a valid move in (2, 3)
2025-03-06 11:36:57,533 - INFO - There is a valid move in (0, 2)
2025-03-06 11:36:57,534 - INFO - There is a valid move in (0, 2)
2025-03-06 11:36:57,535 - INFO - There is a valid move in (0, 2)
2025-03-06 11:36:57,537 - INFO - There is a valid move in (0, 2)
2025-03-06 11:36:57,537 - INFO - There is a valid move in (2, 1)
2025-03-06 11:36:57,538 - INFO - There is a valid move in (2, 1)
2025-03-06 11:36:57,539 - INFO - There is a valid move in (0, 2)
2025-03-06 11:36:57,540 - INFO - There is a valid move in (2, 2)
2025-03-06 11:36:57,540 - INFO - There is a valid move in (0, 3)
2025-03-06 11:36:57,541 - INFO - There is a valid move in (1, 0)
2025-03-06 11:36:57,541 - INFO - There is a valid move in (1, 3)
2025-03-06 11:36:57,542 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,543 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,544 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,544 - INFO - There is a valid move in (2, 2)
2025-03-06 11:36:57,545 - INFO - There is a valid move in (2, 3)
2025-03-06 11:36:57,546 - INFO - There is a valid move in (2, 0)
2025-03-06 11:36:57,547 - INFO - There is a valid move in (1, 0)
2025-03-06 11:36:57,547 - INFO - There is a valid move in (0, 1)
2025-03-06 11:36:57,548 - INFO - There is a valid move in (1, 2)
2025-03-06 11:36:57,549 - INFO - There is a valid move in (2, 2)
2025-03-06 11:36:57,550 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,551 - INFO - There is a valid move in (0, 2)
2025-03-06 11:36:57,553 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,555 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,557 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,558 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,562 - INFO - There is a valid move in (0, 3)
2025-03-06 11:36:57,562 - INFO - There is a valid move in (2, 2)
2025-03-06 11:36:57,563 - INFO - There is a valid move in (1, 3)
2025-03-06 11:36:57,564 - INFO - There is a valid move in (3, 0)
2025-03-06 11:36:57,564 - INFO - There is a valid move in (2, 0)
2025-03-06 11:36:57,565 - INFO - There is a valid move in (1, 0)
2025-03-06 11:36:57,566 - INFO - There is a valid move in (0, 3)
2025-03-06 11:36:57,566 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,569 - INFO - There is a valid move in (0, 3)
2025-03-06 11:36:57,569 - INFO - There is a valid move in (2, 2)
2025-03-06 11:36:57,571 - INFO - There is a valid move in (0, 3)
2025-03-06 11:36:57,572 - INFO - There is a valid move in (0, 3)
2025-03-06 11:36:57,572 - INFO - There is a valid move in (2, 0)
2025-03-06 11:36:57,573 - INFO - There is a valid move in (0, 3)
2025-03-06 11:36:57,573 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,574 - INFO - There is a valid move in (2, 0)
2025-03-06 11:36:57,574 - INFO - There is a valid move in (0, 3)
2025-03-06 11:36:57,575 - INFO - There is a valid move in (0, 3)
2025-03-06 11:36:57,575 - INFO - There is a valid move in (2, 0)
2025-03-06 11:36:57,576 - INFO - There is a valid move in (0, 3)
2025-03-06 11:36:57,576 - INFO - There is a valid move in (0, 0)
